ID Locale Sensore,ID Locale Proprieta Osservata,ID Datastream Frost
LS0623020144,PERC,219
LS0623020144,HPA,220
LS0623020145,PM10,221
LS0623020145,PM25,222
LS0623020145,CO_ug,223
LS0623020145,CO2,224
LS0623020145,O3_ug,225
LS0623020145,NO2_ug,226
LS0623020145,PPB_ug,227
LS0623020145,TEMP_EXT,228
LS0623020145,PERC,229
LS0623020145,HPA,230
LS0623020146,PM10,231
LS0623020146,PM25,232
LS0623020146,CO_ug,233
LS0623020146,CO2,234
LS0623020146,O3_ug,235
LS0623020146,NO2_ug,236
LS0623020146,PPB_ug,237
LS0623020146,TEMP_EXT,238
LS0623020146,PERC,239
LS0623020146,HPA,240
LS0623020147,PM10,241
LS0623020147,PM25,242
LS0623020147,CO_ug,243
LS0623020147,CO2,244
LS0623020147,O3_ug,245
LS0623020147,NO2_ug,246
LS0623020147,PPB_ug,247
LS0623020147,TEMP_EXT,248
LS0623020147,PERC,249
LS0623020147,HPA,250
LS0623020148,PM10,251
LS0623020148,PM25,252
LS0623020148,CO_ug,253
LS0623020148,CO2,254
LS0623020148,O3_ug,255
LS0623020148,NO2_ug,256
LS0623020148,PPB_ug,257
LS0623020148,TEMP_EXT,258
LS0623020148,PERC,259
LS0623020148,HPA,260
LS0623020152,PM10,261
LS0623020152,PM25,262
LS0623020152,CO_ug,263
LS0623020152,CO2,264
LS0623020152,O3_ug,265
LS0623020152,NO2_ug,266
LS0623020152,PPB_ug,267
LS0623020152,TEMP_EXT,268
LS0623020152,PERC,269
LS0623020152,HPA,270
LS0623020153,PM10,271
LS0623020153,PM25,272
LS0623020153,CO_ug,273
LS0623020153,CO2,274
LS0623020153,O3_ug,275
LS0623020153,NO2_ug,276
LS0623020153,PPB_ug,277
LS0623020153,TEMP_EXT,278
LS0623020153,PERC,279
LS0623020153,HPA,280
LS0623020154,PM10,281
LS0623020154,PM25,282
LS0623020154,CO_ug,283
LS0623020154,CO2,284
LS0623020154,O3_ug,285
LS0623020154,NO2_ug,286
LS0623020154,PPB_ug,287
LS0623020154,TEMP_EXT,288
LS0623020154,PERC,289
LS0623020154,HPA,290
LS0623020160,PM10,291
LS0623020160,PM25,292
LS0623020160,CO_ug,293
LS0623020160,CO2,294
LS0623020160,O3_ug,295
LS0623020160,NO2_ug,296
LS0623020160,PPB_ug,297
LS0623020160,TEMP_EXT,298
LS0623020160,PERC,299
LS0623020160,HPA,300
LS0623020161,PM10,301
LS0623020161,PM25,302
LS0623020161,CO_ug,303
LS0623020161,CO2,304
LS0623020161,O3_ug,305
LS0623020161,NO2_ug,306
LS0623020161,PPB_ug,307
LS0623020161,TEMP_EXT,308
LS0623020161,PERC,309
LS0623020161,HPA,310
LS0623020162,PM10,311
LS0623020162,PM25,312
LS0623020162,CO_ug,313
LS0623020162,CO2,314
LS0623020162,O3_ug,315
LS0623020162,NO2_ug,316
LS0623020162,PPB_ug,317
LS0623020162,TEMP_EXT,318
LS0623020162,PERC,319
LS0623020162,HPA,320
LS0623020163,PM10,321
LS0623020163,PM25,322
LS0623020163,CO_ug,323
LS0623020163,CO2,324
LS0623020163,O3_ug,325
LS0623020163,NO2_ug,326
LS0623020163,PPB_ug,327
LS0623020163,TEMP_EXT,328
LS0623020163,PERC,329
LS0623020163,HPA,330
LS0623020164,PM10,331
LS0623020164,PM25,332
LS0623020164,CO_ug,333
LS0623020164,CO2,334
LS0623020164,O3_ug,335
LS0623020164,NO2_ug,336
LS0623020164,PPB_ug,337
LS0623020164,TEMP_EXT,338
LS0623020164,PERC,339
LS0623020164,HPA,340
LS0623020165,PM10,341
LS0623020165,PM25,342
LS0623020165,CO_ug,343
LS0623020165,CO2,344
LS0623020165,O3_ug,345
LS0623020165,NO2_ug,346
LS0623020165,PPB_ug,347
LS0623020165,TEMP_EXT,348
LS0623020165,PERC,349
LS0623020165,HPA,350
LS0623020166,PM10,351
LS0623020166,PM25,352
LS0623020166,CO_ug,353
LS0623020166,CO2,354
LS0623020166,O3_ug,355
LS0623020166,NO2_ug,356
LS0623020166,PPB_ug,357
LS0623020166,TEMP_EXT,358
LS0623020166,PERC,359
LS0623020166,HPA,360
LS0623020163,TAC,361
LS0623020164,TAC,362
LS0623020165,TAC,363
LS0623020166,TAC,364
